Hierarchy,Requirement Type,DNG ID,ZEP ID,Name,Primary Text,Component Allocation
1.3,SYS,199365,ZEP014,Thread Context Switching Mechanism,The kernel architecture layer shall provide a mechanism for context switching between threads. ,Architecture Interface
1.3.1,SSR,199875,ZEP015,Thread context handle restoration,Thread context handles derived from context switches must be able to be restored upon interrupt exit,Architecture Interface
1.3.2,SSR,199876,ZEP016,Interrupt entry to be restored by context switch,Thread context handles derived from interrupt entry must be able to be restored by context switch  ,Architecture Interface
1.4,SYS,199363,ZEP017,Utilities for Managing a Running Processor,The architecture layer shall provide utilites for managing the lifecycle of a running processor ,Architecture Interface
1.4.1,SSR,199872,ZEP018,Providing idle function to be run ,The kernel architecture layer shall provide a idle function to be run when the system has no work for the current CPU,Architecture Interface
1.4.2,SSR,199870,ZEP019,32 bit increasing cycle counter,The kernel architecture layer shall provide a 32 bit monotonically increasing cycle counter,Architecture Interface
1.4.3,SSR,199871,ZEP020,Initialization hook after C startup,The kernel architecture layer shall provide an initialization hook that runs after C startup,Architecture Interface
1.5,SYS,199364,ZEP021,Hardware Exception Handling Architecture Layer,The kernel architecture layer shall enable handling of hardware exceptions,Architecture Interface
1.5.1,SSR,199874,ZEP022,Single handler for hardware exceptions,The kernel architecture layer shall provide a single handler for hardware exceptions,Architecture Interface
1.5.2,SSR,199873,ZEP023,Create a synchronous trap to a hardware exception handler,The kernel architecture layer shall provide a mechanism to create a synchonous trap to a hardware exception handler,Architecture Interface
2,MKT,199104,ZEP024,Asynchronous Scheduling,The kernel shall provide a means to schedule asynchronous work,Workqueues
2.1,SYS,199344,ZEP025,Workqueue FIFO ,"The kernel shall provide a workqueue thread to process work items in a first in, first out manner.",Workqueues
2.1.1,SSR,199773,ZEP026,Work items,A work item shall be supplied as a user-defined callback function,Workqueues
2.1.2,SSR,199771,ZEP027,Scheduling a work item,"The kernel shall support scheduling a work item that is to be processed only after specified period of time, rather than immediately.",Workqueues
2.1.3,SSR,199774,ZEP028,Resubmitting a work item,The kernel shall support resubmitting a work item during execution of its callback ,Workqueues
2.1.4,SSR,199770,ZEP029,Handler function of work items,The handler function of a work item shall be able to utilize any kernel API available to threads.,Workqueues
2.1.5,SSR,199769,ZEP030,Defining workqueues,An application shall be able to define any number of workqueues,Workqueues
2.1.6,SSR,199772,ZEP031,Creating workqueues,A workqueue may be created with a specific thread object supplied by the user upon initialization,Workqueues
3,MKT,199116,ZEP032,Atomic Operations,The system shall provide an interface for atomic operations,Atomic Operations
3.1,SYS,199392,ZEP033,Atomic APIs,The system shall provide atomic APIs to manipulate memory without visibile intermediate state.,Atomic Operations
3.1.1,SSR,199933,ZEP034,Atomic Clear Functions,The system shall provide an atomic clear function.,Atomic Operations
3.1.2,SSR,199936,ZEP035,Atomic Bitwise exclusive or function,The system shall provide an atomic bitwise exclusive or function.,Atomic Operations
3.1.3,SSR,199925,ZEP036,Atomic manipulation,The kernel shall support the atomic manipulation of a single bit in an array of atomic variables.,Atomic Operations
3.1.4,SSR,199941,ZEP037,Atomic Clear Bit Function,The system shall provide an atomic clear bit function.,Atomic Operations
3.1.5,SSR,199943,ZEP038,Atomic Set Bit Function,The system shall provide an atomic set bit to function.,Atomic Operations
3.1.6,SSR,199934,ZEP039,"Atomic Bitwise ""or"" function",The system shall provide an atomic bitwise or function.,Atomic Operations
3.1.7,SSR,199926,ZEP040,Atomic compare-and-swap function,The system shall provide an atomic compare-and-swap function,Atomic Operations
3.1.8,SSR,199930,ZEP041,Atomic increment function,The system shall provide an atomic increment function.,Atomic Operations
3.1.9,SSR,199932,ZEP042,"Atomic ""set"" function",The system shall provide an atomic set function.,Atomic Operations
3.1.10,SSR,199942,ZEP043,Atomic set bit function,The system shall provide an atomic set bit function.,Atomic Operations
3.1.11,SSR,199939,ZEP044,Atomic test and clear bit function,The system shall provide an atomic test and clear bit function.,Atomic Operations
3.1.12,SSR,199935,ZEP045,"Atomic bitwise ""and"" function",The system shall provide an atomic bitwise and function.,Atomic Operations
3.1.13,SSR,199937,ZEP046,"Atomic bitwise ""nand"" function",The system shall provide an atomic bitwise nand function.,Atomic Operations
3.1.14,SSR,199931,ZEP047,Atomic decrement function,The system shall provide an atomic decrement function.,Atomic Operations
3.1.15,SSR,199927,ZEP048,32bit quantities atomic operations,The kernel shall support atomic operations on 32bit quantities ,Atomic Operations
3.1.16,SSR,199929,ZEP049,Atomic subtract function,The system shall provide an atomic subtract function.,Atomic Operations
3.1.17,SSR,199940,ZEP050,Atomic test and set function,The system shall provide an atomic test and set bit function.,Atomic Operations
3.1.18,SSR,199928,ZEP051,Atomic add function,The system shall provide an atomic add function.,Atomic Operations
3.1.19,SSR,199938,ZEP052,Atomic test bit function,The system shall provide an atomic test bit function.,Atomic Operations
3.1.20,SSR,199924,ZEP053,Atomic variable definition,Any number of atomic variables can be defined.,Atomic Operations
4,MKT,199110,ZEP054,C Library Support,The system shall support reasonable subset of standard C library support,C Library
4.1,SYS,199366,ZEP055,External C-Library,The system shall support external C library implementations ,C Library
4.1.1,SSR,199877,ZEP056,Linking with external C libraries,The OS shall support linking with external and compatible C standard library implementations,C Library
4.2,SYS,199367,ZEP057,Minimal C-Library,The system shall provide a minimal C library implementation,C Library
4.2.1,SSR,199878,ZEP058,Minimal C library for POSIX,The OS shall provide a minimal C standard library implementation covering POSIX_C_LANG_SUPPORT from the POSIX standard (https://pubs.opengroup.org/onlinepubs/9699919799/xrat/V4_subprofiles.html),C Library
4.2.2,SSR,199879,ZEP059,Defined hooks not provided by C library,"The OS shall support implementation defined hooks not provided by the C library implementation (low-level filesystem access, requests to enlarge its memory heap, getting the time of day, and various types of context management like process forking and killing. )",C Library
5,MKT,199108,ZEP060,Data Structures Library Utilities,Zephyr shall provide common container data structures as library utilities,Data Structures
5.1,SYS,199359,ZEP061,Ring Buffer Data Structure,Zephyr shall provide a ring buffer data structure of arbitrary size,Data Structures
5.1.1,SSR,199853,ZEP062,Ring buffer insufficient data error,The ring buffer shall return an error if insufficient data is available to read,Data Structures
5.1.2,SSR,199848,ZEP063,Ring buffer in user-controlled memory,The OS shall support placing the ring buffer in any user-controlled memory,Data Structures
5.1.3,SSR,199851,ZEP064,Ring buffer error return,The ring buffer shall return an error if no space is available for an insert operation,Data Structures
5.1.4,SSR,199849,ZEP065,Ring buffer storage,The ring buffer shall be stored as a contiguous array of pointer-sized words,Data Structures
5.1.5,SSR,199852,ZEP066,Ring buffer data copy out of array,The ring buffer shall copy data out of the array from the beginning of the index-wrapped in-use data.,Data Structures
5.1.6,SSR,199850,ZEP067,Ring buffer data copy into array,Ring buffer data shall be copied into the array at the end of the (index-wrapped) in-use data,Data Structures
5.2,SYS,199360,ZEP068,rbtree Data Structure,"Zephyr shall provide a balanced ""red/black"" tree data structure: rbtree.",Data Structures
5.2.1,SSR,199855,ZEP069,Embeddedable rbtree node struct,The rbtree node struct must be embeddedable in any user struct,Data Structures
5.2.2,SSR,199858,ZEP070,Rtree logarithmic time access ,The rbtree must provide logarithmic time access to the minimum and maximum elements of the tree,Data Structures
5.2.3,SSR,199859,ZEP071,"Rbtree ""for each"" style iteration API","The rbtree shall provide a ""for each"" style iteration API",Data Structures
5.2.4,SSR,199854,ZEP072,"Rbtree ""less than"" predicate function","The rbtree must support any user-provided ""less than"" predicate function",Data Structures
5.2.5,SSR,199857,ZEP073,Rbtree insert and remove operations,The rbtree insert and remove operations must run in logarithmic time in the size of the tree,Data Structures
5.2.6,SSR,199856,ZEP074,Rbtree in user-controlled memory,The rbtree node struct must be placeable in in any user-controlled memory,Data Structures
5.3,SYS,199358,ZEP075,dlist Data Structure,"Zephyr shall provide a doubly-linked list ""dlist"" data structure",Data Structures
5.3.1,SSR,199843,ZEP076,Embeddedable dlist struct,The dlist node struct must be embeddedable in any user struct,Data Structures
5.3.2,SSR,199847,ZEP077,Dlist constant time access,"The dlist shall provide constant time access to the ""head"" and ""tail"" of the list",Data Structures
5.3.3,SSR,199844,ZEP078,Place-able dlist node struct,The dlist node struct must be placeable in any user-controlled memory,Data Structures
5.3.4,SSR,199846,ZEP079,"Dlist ""for each"" style iteration API","The dlist shall provide a ""for each"" style iteration API",Data Structures
5.3.5,SSR,199845,ZEP080,Dlist insert and remove operations,The dlist insert and remove operations must run in constant time,Data Structures
6,MKT,199112,ZEP081,Device Driver Abstracting,The kernel shall provide facilities for abstracting common device driver behavior,Device Driver
6.1,SYS,199385,ZEP082,Device Driver Abstraction,"The system shall provide abstraction of device drivers with common functionalities (e.g. I2C, SPI) as an intermediate interface between applications and device drivers, where such interface is implemented by individual device drivers.",Device Driver
6.1.1,SSR,199902,ZEP083,Providing control device driver initialization order,"The kernel shall provide control over device driver initalization order, using initialization level and priority for each instance.",Device Driver
6.1.2,SSR,199901,ZEP084,APIs to return the device driver instance,The kernel shall provide APIs to return the device driver instance given an identifier associated with that instance.,Device Driver
6.1.3,SSR,199905,ZEP085,Abstraction of device drivers with common functionalities,"Abstraction of device drivers with common functionalities (e.g. I2C, SPI) shall be provided as an intermediate interface between applications and device drivers, where such interface is implemented by individual device drivers.",Device Driver
6.1.4,SSR,199907,ZEP086,APIs to enable and disable automatic idle power management,The kernel shall provide APIs to enable and disable automatic idle power management,Device Driver
6.1.5,SSR,199903,ZEP087,Initialization priorities for device driver instances,The kernel shall support initialisation priorities for device driver instances.,Device Driver
6.1.6,SSR,199904,ZEP088,APIs to connect interrupts to device driver instances,The kernel shall provide APIs to connect interrupts to device driver instances.,Device Driver
6.1.7,SSR,199900,ZEP089,APIs to define and instantiate a device driver instance,"The kernel shall provide APIs for developers to define and instantiate a device driver instance, where each instance has an identifier.",Device Driver
6.1.8,SSR,199906,ZEP090,APIs for applications for getting and manipulating power states,The kernel shall provide APIs for applications for getting the current power states and to manipulate the power states of devices.,Device Driver
7,MKT,199117,ZEP091,Dynamic Memory Allocation,The kernel shall provide a means for dynamically allocating memory,Memory Pool / Memory Slabs
7.1,SYS,199262,ZEP092,Dynamic Memory Pool Object,The kernel shall support a memory pool object that allows threads to dynamically allocate variable-sized memory from a specified memory region in a malloc()-like manner.,Memory Pool / Memory Slabs
7.1.1,SSR,199945,ZEP093,Application definition of memory pools,An application shall be able to define any number of memory pools,Memory Pool / Memory Slabs
7.1.2,SSR,199948,ZEP094,Timeout values to allocating memory,"The kernel shall support providing a timeout value to allocating memory, to wait if there are no free memory blocks for one to become available",Memory Pool / Memory Slabs
7.1.3,SSR,199946,ZEP095,Dynamically allocated heap memory region,A thread can dynamically allocate a region of heap memory,Memory Pool / Memory Slabs
7.1.4,SSR,199944,ZEP096,Memory pool initialization and definition at compile time,A memory pool can be defined and initialized at compile time,Memory Pool / Memory Slabs
7.1.5,SSR,199947,ZEP097,Releasing heap memory to pool,When the thread is finished with a region of heap memory it shall be able to release the region back to the heap memory pool,Memory Pool / Memory Slabs
7.1.6,SSR,199949,ZEP098,Memory pool API,The memory pool API must be useable from user mode managing memory within the protected space.,Memory Pool / Memory Slabs
7.1.7,SSR,199950,ZEP099,Memory pool buffer alignment,The kernel shall ensure that the memory pool buffer is aligned to native word length boundaries,Memory Pool / Memory Slabs
7.2,SYS,199263,ZEP100,Memory Slab Object,The kernel shall support a memory slab object that allows threads to dynamically allocate fixed-sized memory from a specified memory region,Memory Pool / Memory Slabs
7.2.1,SSR,199951,ZEP101,Application definition of memory slabs,"An application shall be able to define any number of memory slabs, with each slab containing an arbitrary number of fixed-sized blocks",Memory Pool / Memory Slabs
7.2.2,SSR,199954,ZEP102,Memory slab buffer alignment,The kernel shall ensure that the memory slab buffer is aligned to native word length boundaries,Memory Pool / Memory Slabs
7.2.3,SSR,199953,ZEP103,Memory slab intialization,A memory slab must be initialized before it can be used. This marks all of its blocks as unused.,Memory Pool / Memory Slabs
7.2.4,SSR,199952,ZEP104,Memory slab initialization and definition at compile time,A memory slab can be defined and initialized at compile time,Memory Pool / Memory Slabs
8,MKT,199106,ZEP105,Fatal Exception handling,The kernel shall provide a framework for error and exception handling. ,Fatal Exception Handling
8.1,SYS,199348,ZEP106,Fatal Exception Error Handling,The kernel shall provide handlers for fatal errors or exceptions that do not have a dedicated handler,Fatal Exception Handling
8.1.1,SSR,199790,ZEP107,Fatal error default policy,"The default policy for fatal errors shall be to suspend all threads, attempt to flush output buffers, and halt the system.",Fatal Exception Handling
8.1.2,SSR,199787,ZEP108,Results of a stack overflow,A fatal error which is the result of a stack overflow will report a distinct reason code for this condition,Fatal Exception Handling
8.1.3,SSR,199788,ZEP109,Fatal error kernel debugging messages,"If kernel debugging messages are enabled, the fatal error should dump the ID of the faulting thread and the type of the error",Fatal Exception Handling
8.1.4,SSR,199785,ZEP110,Specific reason code for fatal errors,A fatal error which occurs while servicing an interrupt or exception shall have a specific reason code,Fatal Exception Handling
8.1.5,SSR,199786,ZEP111,Applications implementing their own policy upon fatal error,"The application must be able to override the fatal error handling function to implement their own policy upon fatal error, which gets passed the reason for the fatal error and an architecture-specific struct containing the system register state",Fatal Exception Handling
8.1.6,SSR,199789,ZEP112,Processing or examination of the faulting thread's stack,Any processing or examination of the faulting thread's stack during fatal error handling must treat the stack contents as untrusted and potentionally malicious.,Fatal Exception Handling
8.1.7,SSR,199783,ZEP113,Interrupts or exception without handlers,Any interrupt or exception that does not have a handler installed shall trigger a fatal error,Fatal Exception Handling
8.1.8,SSR,199784,ZEP114,Inducing fatal error at runtime,"A fatal error may be deliberately induced at runtime, with an integer reason code",Fatal Exception Handling
9,MKT,205738,ZEP115,File system,File system support,File System
9.1,SYS,205738,ZEP116,Agnostic File system abstraction,The system shall provide an abstraction for file system operations that is file system agnostic,File System
9.1.1,SSR,205537,ZEP117,Multiple File System Support,The system shall support multiple file systems simultanously,File System
9.1.2,SSR,205538,ZEP118,File system backend registering and unregistering ,The system shall support registering and unregistering file system backends,File System
9.2,SYS,205739,ZEP119,General interface for common file system operations,The system shall support common file system operations through a general interface,File System
9.2.1,SSR,205546,ZEP120,Interface to flush stream and close a file,The system shall provide an interface to flush the associated stream and closes the file,File System
9.2.2,SSR,205548,ZEP121,Interface to read directory entries,The system shall provide an interface to read directory entries of a open directory,File System
9.2.3,SSR,205545,ZEP122,Interface for flushing cache of an open file,The system shall provide an interface to flush the cache of an open file,File System
9.2.4,SSR,205544,ZEP123,Interface to truncate a file,The system shall provide an interface to truncate the file to the new length,File System
9.2.5,SSR,205550,ZEP124,Interface to mount a file system,The system shall provide an interface to mount a file system,File System
9.2.6,SSR,205541,ZEP125,Interface for writing items,The system shall provide an interface to write items of data of size bytes long,File System
9.2.7,SSR,205555,ZEP126,Interface to check the status of a file or directory,The system shall provide an interface to check the status of a file or directory specified by the path,File System
9.2.8,SSR,205543,ZEP127,Interface to retrieve current position,The system shall provide an interface to retrieve the current position in the file,File System
9.2.9,SSR,205549,ZEP128,Interface to close an open directory,The system shall provide an interface to close an open directory,File System
9.2.10,SSR,205552,ZEP129,Interface to delete file or directory,The system shall provide an interface to delete the specified file or directory,File System
9.2.11,SSR,205554,ZEP130,Interface to create a new directory,The system shall provide an interface to create a new directory using specified path,File System
9.2.12,SSR,205542,ZEP131,Interface to move file positions,The system shall provide an interface to move the file position to a new location in the file,File System
9.2.13,SSR,205547,ZEP132,Interface to open existing directory,The system shall provide an interface to open an existing directory specified by the path,File System
9.2.14,SSR,205556,ZEP133,Interface to return total and available space in filesystem,The system shall provide an interface to return the total and available space in the filesystem volume,File System
9.2.15,SSR,205553,ZEP134,Interface to rename file or directory,The system shall provide an interface to rename a file or directory,File System
9.2.16,SSR,205551,ZEP135,Interface to un-mount a file system,The system shall provide an interface to unmount a file system,File System
9.2.17,SSR,205540,ZEP136,Interface for reading items,The system shall provide an interface to read items of data of size bytes long,File System
9.2.18,SSR,205539,ZEP137,Interface for opening or creating a file system,The system shall provide an interface to open an existing file or create a new file system,File System
10,MKT,199090,ZEP138,Interrupt Service Routine,"The kernel shall provide support for interrupt service routine (ISR), a function that executes synchronously in response to a hardware or software interrupt. An ISR shall preempt the execution of the current thread, allowing the response to occur with very low overhead. Thread execution shall resume only once all ISR work has been completed.",Interrupts
10.1,SYS,199322,ZEP139,Mechanisms to enable and disable mechanisms,The kernel shall provide mechanisms to enable and disable mechanisms at runtime,Interrupts
10.1.1,SSR,199409,ZEP140,Disabling individual interrupts,Individual interrupts may be disabled to prevent processing of their interrupt service routines,Interrupts
10.1.2,SSR,199410,ZEP141,Mask/unmask interrupt API,The kernel shall provide an API to mask/unmask all interrupts for the purposes of software mutual exclusion,Interrupts
10.2,SYS,199324,ZEP142,Multi-level interrupt support,The kernel shall support multi-level interrupts,Interrupts
10.2.1,SSR,199419,ZEP143,Dedicated interrupt stack,The kernel shall provide a dedicated interrupt stack for processing hardware interrupts,Interrupts
10.2.2,SSR,199420,ZEP144,Interrupt nesting,The kernel should support interrupt nesting allowing an ISR to be preempted in mid-execution if a higher priority interrupt is signaled. The lower priority ISR resumes execution once the higher priority ISR has completed its processing.,Interrupts
10.3,SYS,199323,ZEP145,Application code association to interrupts,The kernel shall provide mechanisms for associating application code with specific interrupts,Interrupts
10.3.1,SSR,199414,ZEP146,Configuring interrupts,"The user shall be able to supply a word-sized parameter when configuring interrupts, which are passed to the interrupt service routine when the interrupt happens.",Interrupts
10.3.2,SSR,199413,ZEP147,Configuring interrupts statically at build time,The kernel shall support configuration of interrupts statically at build time.,Interrupts
10.3.3,SSR,199416,ZEP148,Configuring interrupts dynamically at runtime,The kernel shall support configuration of interrupts dynamically at runtime.,Interrupts
10.3.4,SSR,199418,ZEP149,Supporting multiple ISRs to process interrupts,"The kernel shall support multiple ISRs utilizing the same function to process interrupts, allowing a single function to service a device that generates multiple types of interrupts or to service multiple devices (usually of the same type)",Interrupts
10.3.5,SSR,199411,ZEP150,Synchronously run code after interrupt,The kernel shall provide a mechanism for synchronously running code after interrupt acknowledgement but before return to user threads.,Interrupts
10.3.6,SSR,199412,ZEP151,Raising a fatal error is for interrupt with no handler function ,The kernel shall raise a fatal error if an interrupt or exception occurs that has no handler function installed,Interrupts
10.3.7,SSR,199417,ZEP152,IDT vector table,The kernel shall support the use of IDT or a vector table is used to associate a given interrupt source with a given ISR. Only a single ISR can be associated with a specific IRQ at any given time.,Interrupts
10.3.8,SSR,199415,ZEP153,"Configurable ""direct"" interrupts","The user should be able to configure ""direct"" interrupts which bypass common interrupt handling code, scheduling decisions, and parameters in order to service the interrupt in with the lowest latency possible.",Interrupts
11,MKT,199325,ZEP154,Kernel Clocks,The kernel shall provide a mechanism for the passage of realtime,Kernel Clocks
11.1,SYS,199325,ZEP155,Kernel clock for realtime passage of time,The kernel shall provide a mechanism for the passage of realtime,Kernel Clocks
11.1.1,SSR,199681,ZEP156,64bit uptime counter,The kernel shall support a 64bit uptime counter,Kernel Clocks
11.1.2,SSR,199682,ZEP157,Converting time units,The kernel shall provide a way to convert the time units used by the clocks into standard time units,Kernel Clocks
11.1.3,SSR,199683,ZEP158,Millisecond time duration,The kernel shall allow providing time durations in milliseconds,Kernel Clocks
11.1.4,SSR,199680,ZEP159,32bit hardware clocks,The kernel shall support 32bit hardware clocks,Kernel Clocks
11.2,SYS,199326,ZEP160,Timer Handling overhead minimization,The kernel should minimize timer handling overhead ,Kernel Clocks
11.2.1,,200048,ZEP161,Tickless mode,"The kernel shall support a ""tickless"" mode where timekeeping does not require the regular delivery of timer interrupts and interrupts reflect only registered events.",Kernel Clocks
12,MKT,199111,ZEP162,Logging,The system shall provide a logging framework,Logging
12.1,SYS,199372,ZEP163,Multi-Processor Logging Support,The logging system shall support multi-processor systems,Logging
12.1.1,SSR,199898,ZEP164,Unique core ID in logging system,"The logging system shall support each core with its unique core ID, which may be a parameter of each log and trace message.",Logging
12.2,SYS,199368,ZEP165,Deferred Logging Support,The operating system shall support deferred logging,Logging
12.2.1,SSR,199880,ZEP166,Logging system to switch blocking synchronous processing,"The logging system shall switch to blocking, synchronous processing in panic mode",Logging
12.2.2,SSR,199881,ZEP167,Logging system to support handling of transient strings,"The logging system shall support handling of transient strings, copying data when an asynchronous backend is in use",Logging
12.2.3,SSR,199882,ZEP168,Synchronous processing of logging messages,Logging shall support synchronous processing of logging messages.,Logging
12.2.4,SSR,199883,ZEP169,Early logging,"The logging system shall provide early logging possibility. The API shall be able to handle log message attempts as well as creating new log contexts instances, before the backends are active",Logging
12.3,SYS,199371,ZEP170,Customizable   Logging,"The logging system shall support customizable log messages, formatting and post-processing",Logging
12.3.1,SSR,199892,ZEP171,Enabling applications to provide information to logging system,The logging system shall enable applications to provide information about its severity.,Logging
12.3.2,SSR,199889,ZEP172,Customizable timestamping in log messages,The logging system shall support user customizable timestamping in log messages,Logging
12.3.3,SSR,199891,ZEP173,Dedicated API for dumping data in logging system,The logging system shall support dumping data using a dedicated API,Logging
12.3.4,SSR,199894,ZEP174,Selectable destination for logging information,The logging system shall allow to select the destination of the provided logging information.,Logging
12.3.5,SSR,199896,ZEP175,Logging buffer and stack size,Logging buffer sizes and stack size for the logging thread shall be configurable,Logging
12.3.6,SSR,199893,ZEP176,Grouping logging information by domain,The logging system shall support logically group logging information by domain,Logging
12.3.7,SSR,199890,ZEP177,Enabling applications to provide domain inforamtion,The logging system shall enable Applications to provide additional information such as the domain being logged,Logging
12.3.8,SSR,199897,ZEP178,Log Levels,"Log levels shall be for example error, info, debug or warning.",Logging
12.3.9,SSR,199895,ZEP179,Severity level check for applications by logging system,The logging system shall provide the possibility for applications to check the current active severity level.,Logging
12.4,SYS,199369,ZEP180,Multiple Backend Logging Support,The logging system shall support multiple logging backends,Logging
12.4.1,SSR,199885,ZEP181,Support output to system console for logging subsystem,The logging subsystem shall support output to the system console ,Logging
12.4.2,SSR,199884,ZEP182,Logging subsystem UART backend support,The logging subsystem shall support a UART backend,Logging
12.5,SYS,199373,ZEP183,Dedicated Logging Thread Support,The operating system shall support a dedicated thread for logging,Logging
12.5.1,SSR,199899,ZEP184,Dedicated thread for processing logging activities,The logging system shall be able to process all logging activities using a dedicated thread,Logging
12.6,SYS,199370,ZEP185,Logging Filtering Support,The logging system shall support filtering,Logging
12.6.1,SSR,199887,ZEP186,Dropping old messages in logging,Logging shall support dropping old messages to save memory,Logging
12.6.2,SSR,199888,ZEP187,Run-time filtering support in the logging system,The logging system shall support run-time filtering on a per module instance level,Logging
12.6.3,SSR,199886,ZEP188,Logging compile-time filtering support,The logging system shall support compile-time filtering on a per module basis,Logging
13,MKT,199094,ZEP189,Mailbox,The kernel shall provide mechanisms for managing communication between threads and to enable waiting for results,Mailbox
13.1,SYS,199327,ZEP190,Mailbox Abstraction,The kernel shall support a mailbox abstraction to enable targeted message passing between threads.,Mailbox
13.1.1,SSR,199685,ZEP191,Enhanced message queue ,The kernel shall provide a kernel object that provides enhanced message queue capabilities that go beyond the capabilities of a message queue object. ,Mailbox
13.1.2,SSR,199688,ZEP192,Exchanging mailbox messages synchronously or asynchronously,The kernel shall allow mailbox messages to be exchanged synchronously or asynchronously.,Mailbox
13.1.3,SSR,199690,ZEP193,Specifying thread address for sending messages,"The kernel shall allow the sending thread to specify the address of the thread to which the message is sent, or send it to any thread",Mailbox
13.1.4,SSR,199684,ZEP194,Application definition mailboxes,An application shall be able to define any number of mailboxes.,Mailbox
13.1.5,SSR,199689,ZEP195,Tagging identity of exchanged messages,Messages exchanged shall be tagged with the identity of the sending thread. ,Mailbox
13.1.6,SSR,199686,ZEP196,Sending and receiving synchronous or asynchronous messages,A mailbox allows threads to send and receive messages of any size synchronously or asynchronously.,Mailbox
13.1.7,SSR,199687,ZEP197,Defining and initializing mailboxes at compile time,The kernel shall provide a mechanism for defining and initializing mailboxes at compile time,Mailbox
14,MKT,199107,ZEP198,Memory Protection,The kernel shall support memory protection features to isolate threads,Memory Protection
14.1,SYS,199352,ZEP199,Safe C Strings in User Mode,System calls must be able to safely accept c strings passed in from user mode,Memory Protection
14.1.1,SSR,199823,ZEP200,Inspecting an untrusted C string from user thread,"A system call handler must be able to safely inspect an untrusted C string passed in from a user thread and determine its length, up to a specified limit.",Memory Protection
14.1.2,SSR,199822,ZEP201,Passing limited size null terminated C strings,The OS shall support passing limited size null terminated c strings to a system call handler. ,Memory Protection
14.2,SYS,199356,ZEP202,Performing Privileged Operations in User Mode,The system shall provide system calls to allow user mode threads to perform priviledged operations ,Memory Protection
14.2.1,SSR,199831,ZEP203,Handling invocations of unimplemented system calls,The kernel shall safety handle invocations of unimplemented system calls or invalid system call IDs.,Memory Protection
14.2.2,SSR,199833,ZEP204,Scrub CPU registers for sensitive data,"Upon exit of a system call back to the calling thread, the kernel shall scrub CPU registers of any sensitive data.",Memory Protection
14.2.3,SSR,199832,ZEP205,Handling system calls on a separate private stack,"The kernel shall handle system calls on a separate, private stack which is not accessible to the calling thread.",Memory Protection
14.3,SYS,199354,ZEP206,Boot Time Memory Access Policy,The system shall support a boot time memory access policy,Memory Protection
14.3.1,SSR,199829,ZEP207,Definition of boot-time memory regions,The system shall allow for the definitions of boot-time memory regions whose permission attributes apply to all threads.,Memory Protection
14.4,SYS,199349,ZEP208,Assigning Memory Pools to Thread Resource Pool,Zephyr shall support assigning a memory pool to act as that thread's resource pool. This pool will be used to draw dynamic memory on behalf of kernel APIs that require it for private data.,Memory Protection
14.4.1,SSR,199791,ZEP209,Common system heap,Zephyr shall support assigning the common system heap as its memory pool.,Memory Protection
14.4.2,SSR,199794,ZEP210,Freeing memory drawn,The kernel shall support freeing memory drawn from a thread's resource pool. ,Memory Protection
14.4.3,SSR,199793,ZEP211,Thread resource pools,The kernel shall provide a thread resource pool for system call handlers or kernel APIs. ,Memory Protection
